anomaly_id,title,description,metric,observed_value,threshold_value,severity,period,source_file,evidence,recommended_next_check,detection_method,rule_id
ANOM-2026-005,Monthly operating deficit,The month produced a negative operating result.,monthly_net_operating_result,-329146.0,0.0,critical,2026-06,monthly_trends_2026.csv,"Monthly operating result is $-329,146.",Compare monthly revenue and expense drivers with budget.,trend_based,MONTHLY_OPERATING_DEFICIT
ANOM-2026-002,Negative or low cash flow,Net cash flow is at or below the configured minimum.,net_cash_flow,-1899352.0,0.0,high,2026,finance_summary_2026.json,"Net cash flow is $-1,899,352; ending cash is $3,950,648.","Review operating, scholarship, and capital cash outflows.",rule_based,NET_CASH_FLOW_MIN
ANOM-2026-003,Vendor payment exceeds review threshold,At least one vendor payment exceeds the configured review value.,maximum_vendor_payment,96000.0,50000.0,high,2026,finance_summary_2026.json,"Maximum payment is $96,000 versus a $50,000 threshold.","Inspect the underlying vendor invoice, approval, and duplicate checks.",rule_based,VENDOR_PAYMENT_REVIEW
ANOM-2026-006,Monthly operating deficit,The month produced a negative operating result.,monthly_net_operating_result,-156147.0,0.0,high,2026-07,monthly_trends_2026.csv,"Monthly operating result is $-156,147.",Compare monthly revenue and expense drivers with budget.,trend_based,MONTHLY_OPERATING_DEFICIT
ANOM-2026-007,Monthly operating deficit,The month produced a negative operating result.,monthly_net_operating_result,-151102.0,0.0,high,2026-08,monthly_trends_2026.csv,"Monthly operating result is $-151,102.",Compare monthly revenue and expense drivers with budget.,trend_based,MONTHLY_OPERATING_DEFICIT
ANOM-2026-010,Monthly payroll ratio above threshold,Payroll consumed too large a share of monthly revenue.,monthly_payroll_percentage_of_revenue,53.10162728920758,42.0,high,2026-06,monthly_trends_2026.csv,Monthly payroll/revenue is 53.10% versus 42.00% maximum.,Review payroll components and the month's revenue denominator.,trend_based,MONTHLY_PAYROLL_RATIO_MAX
ANOM-2026-011,Monthly payroll ratio above threshold,Payroll consumed too large a share of monthly revenue.,monthly_payroll_percentage_of_revenue,49.35428423487136,42.0,high,2026-07,monthly_trends_2026.csv,Monthly payroll/revenue is 49.35% versus 42.00% maximum.,Review payroll components and the month's revenue denominator.,trend_based,MONTHLY_PAYROLL_RATIO_MAX
ANOM-2026-012,Monthly payroll ratio above threshold,Payroll consumed too large a share of monthly revenue.,monthly_payroll_percentage_of_revenue,49.15071930146351,42.0,high,2026-08,monthly_trends_2026.csv,Monthly payroll/revenue is 49.15% versus 42.00% maximum.,Review payroll components and the month's revenue denominator.,trend_based,MONTHLY_PAYROLL_RATIO_MAX
ANOM-2026-014,Monthly collection rate below target,Monthly student collections are below target.,monthly_student_collection_rate,84.44563489064443,94.0,high,2026-06,monthly_trends_2026.csv,Monthly collection rate is 84.45% versus 94.00% minimum.,Inspect that month's overdue invoices and collection actions.,trend_based,MONTHLY_COLLECTION_MIN
ANOM-2026-001,Payroll exceeds revenue threshold,Payroll cost is above the configured maximum share of revenue.,payroll_percentage_of_revenue,42.54861893632902,42.0,medium,2026,finance_summary_2026.json,Calculated payroll/revenue is 42.55% versus a 42.00% maximum.,"Review payroll by department, overtime, benefits, and headcount.",rule_based,PAYROLL_RATIO_MAX
